Position Surname Number
952= MCGILLIVRAY 36
952= MCMENEMY 36
952= POWELL 36
952= SPENCER 36
952= WILLOX 36
964= BYERS 35
964= CARSWELL 35
964= COLE 35
964= COLL 35
964= COMBE 35
964= CROWE 35
964= DUNSMUIR 35
964= HARVIE 35
964= JARVIS 35
964= KELMAN 35
964= LAUDER 35
964= LITTLEJOHN 35
964= MCNEE 35
964= ROXBURGH 35
964= TRACEY 35
964= TWEEDIE 35
980= BATHGATE 34
980= BISSETT 34
980= BRADFORD 34
980= CALLANDER 34
980= DRYBURGH 34
980= ELRICK 34
980= HUDSON 34
980= KEAN 34
980= MCMULLAN 34
980= MCMURDO 34
980= MCMURRAY 34
980= OWEN 34
980= PROUDFOOT 34
980= RENTON 34
980= SUTTIE 34
980= TROTTER 34
996= BARTON 33
996= BECK 33
996= BOLTON 33
996= BULLOCH 33
996= COOKE 33
996= CRUICKSHANKS 33
996= FAGAN 33
996= FERNIE 33
996= FLOCKHART 33
996= HODGSON 33
996= KINNAIRD 33
996= MACLELLAN 33
996= MALLON 33
996= MCCARRON 33
996= MCCRAE 33
996= MCVICAR 33
996= MUNN 33
996= PAYNE 33
996= PEDEN 33
996= PRITCHARD 33
996= RENWICK 33
996= SLAVEN 33
996= STRAIN 33
1019= BAILEY 32
1019= CALLAN 32
1019= CRAIGIE 32
1019= DALE 32
1019= DUNDAS 32
1019= FINNIGAN 32
1019= GERRARD 32
1019= GIBBONS 32
1019= GLENNIE 32
1019= GOODFELLOW 32
1019= HADDEN 32
1019= HORSBURGH 32
1019= HUTCHINSON 32
1019= MACASKILL 32
1019= MASTERTON 32
1019= MCDAID 32
1019= MCROBBIE 32
1019= MERCER 32
1019= NORRIS 32
1019= NUGENT 32
1019= PEAT 32
1019= STEEDMAN 32
1019= TRAVERS 32
1019= WYPER 32
1043= BALL 31
1043= BRYAN 31
1043= CHERRY 31
1043= CLEMENTS 31
1043= DALLAS 31
1043= FAIRGRIEVE 31
1043= GLENDINNING 31
1043= GOVAN 31
1043= HAINING 31
1043= LLOYD 31
1043= LOWRIE 31
1043= MCGIBBON 31
1043= MCHARDY 31
1043= MCNIVEN 31
1043= MILROY 31
1043= NEWMAN 31
1043= REEKIE 31
1043= SKENE 31
1043= STONE 31
1043= TONER 31
1043= TROUP 31
1043= WALES 31
1043= WARDROP 31
1066= ARCHER 30
1066= BARKER 30
1066= BATCHELOR 30
1066= BATES 30
1066= BUIST 30
1066= CRIGHTON 30
1066= DELANEY 30
1066= DRENNAN 30
1066= ENGLISH 30
1066= GILLON 30
1066= HARROWER 30
1066= HONEYMAN 30
1066= HORN 30
1066= HOWARD 30
1066= IRWIN 30
1066= LISTER 30
1066= MATHER 30
1066= MCCLELLAND 30
1066= MCCOLM 30
1066= MCFADZEAN 30
1066= MCNAMEE 30
1066= MCSHERRY 30
1066= MOLLOY 30
1066= MULLAN 30
1066= SANDS 30
1066= SPIERS 30
1066= STANLEY 30
1066= STEIN 30
1066= WATERS 30
1095= BANNERMAN 29
1095= BROADLEY 29
1095= CANT 29
1095= CARNEGIE 29
1095= COLVIN 29
1095= CUTHILL 29
1095= DONACHIE 29
1095= FORDYCE 29
1095= GLANCY 29
1095= GOUDIE 29
1095= HAIG 29
1095= HALDANE 29
1095= HEANEY 29
1095= HUSSAIN 29
1095= JENNINGS 29
1095= LEIPER 29
1095= LOCHRIE 29
1095= LOGIE 29
1095= MACLAREN 29
1095= MCAVOY 29
1095= MCDONAGH 29
1095= REDMOND 29
1095= RIACH 29
1095= SMELLIE 29
1095= TOSH 29
1095= URE 29
1095= WALTON 29
1095= WHITEFORD 29
1123= BONNER 28
1123= BRIGGS 28
1123= CARRICK 28
1123= CLUBB 28
1123= COLLIE 28
1123= CONNER 28
1123= COONEY 28
1123= DEY 28
1123= DOBIE 28
1123= DONAGHY 28
1123= DREVER 28
1123= DUFFIN 28
1123= DYKES 28
1123= EMSLIE 28
1123= EWART 28
1123= FREEMAN 28
1123= GRUBB 28
1123= LOTHIAN 28
1123= MACNAB 28
1123= MCCRORIE 28
1123= MCILWRAITH 28
1123= MOSS 28
1123= MULDOON 28
1123= NAISMITH 28
1123= RICHARDS 28
1123= SCRIMGEOUR 28
1123= STAFFORD 28
1123= TOMLINSON 28
1123= TRAINER 28
